subregion,region,Rate of Police Killings per Million Population,Percent population black,Percent victims black,Disparity,"Violent Crime per 1,000 residents","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",police_force_size,all,white,non-white,black,hispanic,asian
Albuquerque,New Mexico,3.589575156,0.02670285,0,-0.02670285,8.855481909,88.9,33.2,47413,26876,18.5,1340,0.6156716,0.6296296,0.6015038,**,0.5663717,**
Atlanta,Georgia,6.578918514,0.491918895,1,0.508081105,12.23020952,88.4,47.1,46439,35719,25.2,2950,0.1372881,0.1862745,0.111399,0.101983,**,**
Austin,Texas,6.573246231,0.066565073,0,-0.066565073,3.923132459,87,46,55216,32672,19,1985,0.2947103,0.1946903,0.4269006,0.25,0.4538462,**
Baltimore,Maryland,4.817009825,0.630928736,1,0.369071264,13.40092133,80.9,27.7,41819,25062,24.2,2800,0.2571429,0.1328125,0.3618421,0.3914591,**,**
Boston,Massachusetts,3.049319697,0.210514359,1,0.789485641,7.24060962,85,44.6,54485,34770,21.9,2560,0.4765625,0.4415584,0.5826772,0.6865672,0.75,**
Charlotte-Mecklenberg,North Carolina,1.234631919,0.311135886,1,0.688864114,6.23982972,88.1,40.7,53274,31844,17.3,1780,0.3623596,0.2945455,0.5925926,0.8333333,0.3214286,**
Chicago,Illinois,2.938595476,0.320411962,0.625,0.304588038,8.848478303,81.6,34.9,47831,28623,22.7,12120,0.875,0.8719626,0.8774003,0.8974057,0.8398268,0.9666667
Cleveland,Ohio,5.134511361,0.534523171,1,0.465476829,13.31378796,77.4,15.2,26179,17436,35.9,2045,0.5574572,0.4981273,0.6690141,0.5959596,0.9411765,**
Colorado Springs,Colorado,2.243007424,0.054709194,0,-0.054709194,4.573492138,92.8,36.3,54228,29355,13.9,860,0.6046512,0.5530303,0.775,**,0.9130435,**
Columbus,Ohio,4.78493511,0.260412916,0.5,0.239587084,5.458414727,88.3,33.4,44774,24721,22.3,2245,0.4053452,0.3797814,0.5180723,0.5714286,**,**
Corpus Christi,Texas,6.241534918,0.037174582,0,-0.037174582,6.534887059,81.2,21.2,49675,25203,17.6,770,0.8571429,0.8933333,0.8227848,**,0.8472222,**
Dallas,Texas,5.464280389,0.229623894,0.571428571,0.341804678,6.601631322,74.3,29.7,43359,27917,24.1,3605,0.1914008,0.171504,0.2134503,0.2146341,0.2568807,**
Denver,Colorado,1.50633716,0.087952014,0,-0.087952014,5.99974091,85.6,43.7,51800,34423,18.3,1820,0.282967,0.1493213,0.4895105,0.5806452,0.3917526,**
Detroit,Michigan,1.470047777,0.862290334,1,0.137709666,20.01617053,77.8,13.1,26095,14984,39.8,3265,0.3705972,0.0819672,0.5427873,0.568,0.3333333,**
El Paso,Texas,5.89070388,0.026736432,0.25,0.223263568,3.933517516,77.2,22.7,42037,20050,21.5,2260,0.8517699,0.8264463,0.8610272,**,0.8610272,**
Fort Worth,Texas,6.155831173,0.168597135,0.4,0.231402865,5.451604086,80.4,26.7,52492,24726,19.3,1430,0.4265734,0.3067485,0.5853659,0.637931,0.559322,**
Fresno,California,7.752148314,0.073422535,0,-0.073422535,4.616404321,74.8,20.1,41455,19226,30.6,1040,0.5144231,0.5096154,0.5192308,0.6818182,0.4603175,**
Houston,Texas,6.251233502,0.216987459,0.642857143,0.425869684,9.826939066,75.9,29.8,45728,27938,22.9,7700,0.2922078,0.1737346,0.3992583,0.3663793,0.4571429,0.4081633
Indianapolis,Indiana,10.60335443,0.262790002,0.444444444,0.181654443,12.6863245,84.6,27.6,42076,24058,21.4,1620,0.6481481,0.7104247,0.4,0.3833333,**,**
Jacksonville,Florida,5.859040852,0.290041271,0.8,0.509958729,6.858593221,88.1,25.5,46768,25496,17.8,2335,0.8094218,0.7137809,0.9565217,1,0.8888889,1
