Region,Subregion,"Violent
crime"
ALABAMA,Autauga,68
ALABAMA,Baldwin,98
ALABAMA,Bibb,4
ALABAMA,Blount,90
ALABAMA,Calhoun,15
ALABAMA,Chilton,79
ALABAMA,Colbert,58
ALABAMA,Elmore,52
ALABAMA,Etowah,86
ALABAMA,Geneva,52
ALABAMA,Hale,14
ALABAMA,Henry,19
ALABAMA,Houston,80
ALABAMA,Lawrence,66
ALABAMA,Limestone,82
ALABAMA,Lowndes,49
ALABAMA,Madison,342
ALABAMA,Mobile,139
ALABAMA,Montgomery,20
ALABAMA,Russell,43
ALABAMA,St. Clair,29
ALABAMA,Tuscaloosa,213
ALABAMA,Walker,103
ALABAMA,Barbour,17
ALABAMA,Bullock,15
ALABAMA,Butler,44
ALABAMA,Chambers,4
ALABAMA,Cherokee,49
ALABAMA,Clarke,72
ALABAMA,Clay,17
ALABAMA,Coffee,28
ALABAMA,Coosa,13
ALABAMA,Covington,22
ALABAMA,Crenshaw,52
ALABAMA,Cullman,84
ALABAMA,Dale,29
ALABAMA,Dallas,65
ALABAMA,DeKalb,128
ALABAMA,Escambia,24
ALABAMA,Franklin,26
ALABAMA,Greene,24
ALABAMA,Jackson,81
ALABAMA,Lamar,16
ALABAMA,Macon,24
ALABAMA,Marengo,33
ALABAMA,Marion,30
ALABAMA,Marshall,47
ALABAMA,Monroe,34
ALABAMA,Pike,15
ALABAMA,Randolph,2
ALABAMA,Talladega,74
ALABAMA,Tallapoosa,19
ALABAMA,Washington,22
ALABAMA,Wilcox,52
ALABAMA,Winston,15
ARIZONA,Coconino,91
ARIZONA,Maricopa,1114
ARIZONA,Mohave,163
ARIZONA,Pima,976
ARIZONA,Pinal,194
ARIZONA,Yuma,152
ARIZONA,Apache,60
ARIZONA,Gila,76
ARIZONA,Graham,118
ARIZONA,La Paz,26
ARIZONA,Navajo,69
ARIZONA,Santa Cruz,8
ARKANSAS,Benton,85
ARKANSAS,Cleveland,2
ARKANSAS,Craighead,29
ARKANSAS,Crawford,52
ARKANSAS,Crittenden,102
ARKANSAS,Faulkner,116
ARKANSAS,Garland,387
ARKANSAS,Grant,18
ARKANSAS,Lincoln,2
ARKANSAS,Lonoke,80
ARKANSAS,Madison,37
ARKANSAS,Miller,35
ARKANSAS,Perry,53
ARKANSAS,Poinsett,3
ARKANSAS,Pulaski,357
ARKANSAS,Saline,213
ARKANSAS,Sebastian,62
ARKANSAS,Washington,163
ARKANSAS,Arkansas,7
ARKANSAS,Ashley,31
ARKANSAS,Baxter,38
ARKANSAS,Boone,50
ARKANSAS,Calhoun,2
ARKANSAS,Carroll,43
ARKANSAS,Chicot,4
ARKANSAS,Clark,10
ARKANSAS,Cleburne,39
ARKANSAS,Columbia,29
ARKANSAS,Conway,28
ARKANSAS,Cross,31
ARKANSAS,Dallas,5
ARKANSAS,Drew,52
ARKANSAS,Franklin,38
ARKANSAS,Fulton,11
ARKANSAS,Greene,18
ARKANSAS,Hempstead,56
ARKANSAS,Howard,4
ARKANSAS,Independence,176
ARKANSAS,Izard,24
ARKANSAS,Jackson,39
ARKANSAS,Johnson,40
ARKANSAS,Lafayette,7
ARKANSAS,Lawrence,11
ARKANSAS,Lee,2
ARKANSAS,Marion,42
ARKANSAS,Mississippi,28
ARKANSAS,Monroe,2
ARKANSAS,Montgomery,20
ARKANSAS,Nevada,5
ARKANSAS,Newton,17
ARKANSAS,Pike,13
ARKANSAS,Polk,35
ARKANSAS,Pope,60
ARKANSAS,Prairie,11
ARKANSAS,Randolph,33
ARKANSAS,Scott,20
ARKANSAS,Searcy,9
ARKANSAS,Sevier,9
ARKANSAS,St. Francis,19
ARKANSAS,Stone,13
ARKANSAS,Union,48
ARKANSAS,Van Buren,34
ARKANSAS,White,86
ARKANSAS,Woodruff,1
ARKANSAS,Yell,39
CALIFORNIA,Alameda4,588
CALIFORNIA,Butte,82
CALIFORNIA,Contra Costa,412
CALIFORNIA,El Dorado,240
CALIFORNIA,Fresno,735
CALIFORNIA,Imperial,214
CALIFORNIA,Kern4,1982
CALIFORNIA,Kings,144
CALIFORNIA,Los Angeles,5091
CALIFORNIA,Madera,383
CALIFORNIA,Marin,91
CALIFORNIA,Merced,465
CALIFORNIA,Monterey,256
CALIFORNIA,Napa,42
CALIFORNIA,Orange4,252
CALIFORNIA,Placer,289
CALIFORNIA,Riverside,749
CALIFORNIA,Sacramento4,2978
CALIFORNIA,San Benito,60
CALIFORNIA,San Bernardino,972
CALIFORNIA,San Diego4,1315
CALIFORNIA,San Joaquin4,698
CALIFORNIA,San Luis Obispo,265
CALIFORNIA,San Mateo,264
CALIFORNIA,Santa Barbara,302
CALIFORNIA,Santa Clara,255
CALIFORNIA,Santa Cruz,286
CALIFORNIA,Shasta4,569
CALIFORNIA,Solano,102
CALIFORNIA,Sonoma,613
CALIFORNIA,Stanislaus,365
CALIFORNIA,Sutter,93
CALIFORNIA,"Tulare4, 5",446
CALIFORNIA,Ventura4,119
CALIFORNIA,Yolo,74
CALIFORNIA,Yuba,205
CALIFORNIA,Alpine,4
CALIFORNIA,Amador,55
CALIFORNIA,Calaveras,106
CALIFORNIA,Colusa,25
CALIFORNIA,Del Norte,102
CALIFORNIA,Glenn,81
CALIFORNIA,Humboldt,202
CALIFORNIA,Inyo,79
CALIFORNIA,Lake,193
CALIFORNIA,Lassen,33
CALIFORNIA,Mariposa,71
CALIFORNIA,Mendocino,310
CALIFORNIA,Modoc,20
CALIFORNIA,Mono,8
CALIFORNIA,Nevada,145
CALIFORNIA,Plumas,90
CALIFORNIA,Sierra,11
CALIFORNIA,Siskiyou4,31
CALIFORNIA,Tehama,156
CALIFORNIA,Trinity,34
CALIFORNIA,Tuolumne,129
COLORADO,Adams,462
COLORADO,Arapahoe,215
COLORADO,Clear Creek,28
COLORADO,Douglas,151
COLORADO,Elbert,0
COLORADO,El Paso,438
COLORADO,Gilpin,10
COLORADO,Jefferson,167
COLORADO,Larimer,109
COLORADO,Mesa,203
COLORADO,Park,18
COLORADO,Pueblo,51
COLORADO,Teller,34
COLORADO,Weld,154
COLORADO,Alamosa,0
COLORADO,Baca,1
COLORADO,Bent,8
COLORADO,Chaffee,4
COLORADO,Cheyenne,2
COLORADO,Conejos,1
COLORADO,Costilla,8
COLORADO,Crowley,3
COLORADO,Custer,4
COLORADO,Delta,4
COLORADO,Dolores,2
COLORADO,Eagle,45
COLORADO,Fremont,42
COLORADO,Garfield,27
COLORADO,Grand,8
COLORADO,Gunnison,1
COLORADO,Hinsdale,0
COLORADO,Huerfano,8
COLORADO,Jackson,0
COLORADO,Kit Carson,4
COLORADO,Lake,5
COLORADO,La Plata,37
COLORADO,Las Animas,1
COLORADO,Lincoln,4
COLORADO,Logan,11
COLORADO,Moffat,0
COLORADO,Montezuma,34
COLORADO,Montrose,33
COLORADO,Morgan,11
COLORADO,Ouray,0
COLORADO,Phillips,3
COLORADO,Pitkin,4
COLORADO,Prowers,2
COLORADO,Rio Blanco,0
COLORADO,Rio Grande,2
COLORADO,Routt,6
COLORADO,Saguache,3
COLORADO,San Juan,1
COLORADO,San Miguel,0
COLORADO,Sedgwick,8
COLORADO,Summit,21
DELAWARE,New Castle County Police Department,875
FLORIDA,Alachua,572
FLORIDA,Baker,136
FLORIDA,Bay,321
FLORIDA,Brevard,735
FLORIDA,Broward,268
FLORIDA,Charlotte,286
FLORIDA,Citrus,486
FLORIDA,Clay,437
FLORIDA,Collier,877
FLORIDA,Escambia,1761
FLORIDA,Flagler,216
FLORIDA,Gadsden,115
FLORIDA,Gilchrist,50
FLORIDA,Gulf,42
FLORIDA,Hernando,405
FLORIDA,Highlands,220
FLORIDA,Hillsborough,1937
FLORIDA,Indian River,285
FLORIDA,Jefferson,123
FLORIDA,Lake,409
FLORIDA,Lee,1275
FLORIDA,Leon,344
FLORIDA,Manatee,1511
FLORIDA,Marion,1038
FLORIDA,Martin,311
FLORIDA,Miami-Dade,6571
FLORIDA,Nassau,55
FLORIDA,Okaloosa,558
FLORIDA,Orange,5551
FLORIDA,Osceola,686
FLORIDA,Palm Beach,2034
FLORIDA,Pasco,1116
FLORIDA,Pinellas,872
FLORIDA,Polk,1237
FLORIDA,Santa Rosa,219
FLORIDA,Sarasota,522
FLORIDA,Seminole,556
FLORIDA,St. Johns,429
FLORIDA,St. Lucie,239
FLORIDA,Sumter,155
FLORIDA,Volusia,697
FLORIDA,Wakulla,86
FLORIDA,Walton,198
FLORIDA,Bradford,85
FLORIDA,Calhoun,17
FLORIDA,Columbia,238
FLORIDA,DeSoto,108
FLORIDA,Dixie,67
FLORIDA,Franklin,26
FLORIDA,Glades,35
FLORIDA,Hamilton,44
FLORIDA,Hardee,49
FLORIDA,Hendry,221
FLORIDA,Holmes,53
FLORIDA,Jackson,115
FLORIDA,Lafayette,22
FLORIDA,Liberty,7
FLORIDA,Madison,110
FLORIDA,Monroe,188
FLORIDA,Okeechobee,135
FLORIDA,Putnam,327
FLORIDA,Suwannee,147
FLORIDA,Taylor,79
FLORIDA,Union,46
FLORIDA,Washington,34
GEORGIA,Bartow,328
GEORGIA,Bibb6,774
GEORGIA,Brantley,31
GEORGIA,Brooks,12
GEORGIA,Bryan,38
GEORGIA,Burke,71
GEORGIA,Butts,39
GEORGIA,Carroll,136
GEORGIA,Catoosa,77
GEORGIA,Chattahoochee,0
GEORGIA,Cherokee,129
