Police Department, State,2014 population (US Census),2015 victims,Rate of Police Killings per Million Population,Black population (2012 Census by Race),Percent population black,2015 black victims,Percent victims black,Disparity,Violent crimes (2014 FBI UCR),"Violent Crime per 1,000 residents",Police Department,People,"Population estimates, July 1, 2014,  (V2014)","Population estimates base, April 1, 2010,  (V2014)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2010-2014","Foreign born persons, percent, 2010-2014","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2010-2014","Median value of owner-occupied housing units, 2010-2014","Median selected monthly owner costs -with a mortgage, 2010-2014","Median selected monthly owner costs -without a mortgage, 2010-2014","Median gross rent, 2010-2014","Households, 2010-2014","Persons per household, 2010-2014","Living in same house 1 year ago, percent of persons age 1 year+, 2010-2014","Language other than English spoken at home, percent of persons age 5 years+, 2010-2014","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","With a disability, under age 65 years, percent, 2010-2014","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2010-2014","In civilian labor force, female, percent of population age 16 years+, 2010-2014","Total accommodation and food services sales, 2007 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)  (c)","Total manufacturers shipments, 2007 ($1,000)  (c)","Total merchant wholesaler sales, 2007 ($1,000)  (c)","Total retail sales, 2007 ($1,000)  (c)","Total retail sales per capita, 2007  (c)","Mean travel time to work (minutes), workers age 16 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",Businesses,"All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007",Geography,"Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Albuquerque,New Mexico,557169,2,3.589575156,14878,0.02670285,0,0,-0.02670285,4934,8.855481909,Albuquerque,"Albuquerque city, New Mexico",557169,546360,2,545852,7,24,12.1,51.4,69.7,3.3,4.6,2.6,0.1,4.6,46.7,42.1,43888,10.7,239166,59.3,185100,1356,397,798,222868,2.46,83.1,29.9,88.9,33.2,8.9,17.3,65.1,60.1,1321604,3889650,3779175,5165613,8951696,17309,21.2,47413,26876,18.5,"Albuquerque city, New Mexico",44460,18752,14187,13479,26662,4356,34955,"Albuquerque city, New Mexico",2907.6,187.73,"""3502000"""
Anaheim,California,346997,3,8.645607887,8209,0.023657265,2,0.666666667,0.643009402,1101,3.172938095,Anaheim,"Anaheim city, California",346997,336440,3.1,336265,7.7,27.3,9.3,50.3,52.7,2.8,0.8,14.8,0.5,4.4,52.8,27.5,11154,37,104237,47.4,413800,2319,489,1362,99208,3.41,84.4,60.9,75.5,24.8,5,23.1,67.5,59.8,1405279,1721551,7648079,7962095,3679288,11179,27.6,59707,23990,16.9,"Anaheim city, California",26108,13144,6623,11748,11933,1586,22104,"Anaheim city, California",6747.6,49.84,"""0602000"""
Arlington,Texas,383204,3,7.828728301,67087,0.175068632,2,0.666666667,0.491598035,1854,4.83815409,Arlington,"Arlington city, Texas",383204,365361,4.9,365438,7.8,27.9,8.1,50.9,59,18.8,0.7,6.8,0.1,3.3,27.4,44.9,20867,19.7,144805,56.7,129800,1414,571,861,133601,2.78,79.9,32.5,84.6,28.9,7.5,25.2,71,64.3,647055,1725619,12265141,4470000,4890441,13237,26.1,53055,25236,16.9,"Arlington city, Texas",31355,14857,9842,11587,18019,2183,26579,"Arlington city, Texas",3811.3,95.88,"""4804000"""
Atlanta,Georgia,456002,3,6.578918514,224316,0.491918895,3,1,0.508081105,5577,12.23020952,Atlanta,"Atlanta city, Georgia",456002,420256,8.5,420003,6.4,19.4,9.8,50.2,38.4,54,0.2,3.1,Z,2,5.2,36.3,20380,7.6,224573,44.1,205000,1806,549,969,181681,2.25,76.4,10.8,88.4,47.1,8.3,19.7,64.7,61.8,2743688,4796286,5304252,7523615,5594126,10767,25.4,46439,35719,25.2,"Atlanta city, Georgia",50966,25949,17047,19266,28198,5003,41353,"Atlanta city, Georgia",3154.3,133.15,"""1304000"""
Aurora,Colorado,353108,3,8.495984231,49003,0.138776238,2,0.666666667,0.527890428,1448,4.100728389,Aurora,"Aurora city, Colorado",353108,324688,8.8,325078,8.4,27.3,8.9,50.8,61.1,15.7,1,4.9,0.3,5.2,28.7,47.3,23935,20.2,131040,57.3,179300,1437,410,983,123344,2.73,76.9,31.8,86.5,27.1,7.8,22.1,70.8,64.7,444832,2293364,767216,5839578,3664522,11859,28.8,52275,24732,16.2,"Aurora city, Colorado",23839,11767,7204,6120,16091,2299,19578,"Aurora city, Colorado",2100.9,154.73,"""0804000"""
Austin,Texas,912791,6,6.573246231,60760,0.066565073,0,0,-0.066565073,3581,3.923132459,Austin,"Austin city, Texas",912791,811458,12.5,790390,7.3,22.2,7,49.4,68.3,8.1,0.9,6.3,0.1,3.4,35.1,48.7,38358,18.4,354241,44.8,227800,1748,658,1012,344289,2.45,74.3,32.6,87,46,6.7,21.1,73.1,66.8,2655728,5232094,27028005,12730488,13493511,18012,23.2,55216,32672,19,"Austin city, Texas",80570,40184,22714,18154,57297,6375,67329,"Austin city, Texas",2653.2,297.9,"""4805000"""
Bakersfield,California,368759,5,13.5589911,26677,0.072342641,0,0,-0.072342641,1678,4.550397414,Bakersfield,"Bakersfield city, California",368759,347587,6.1,347483,9,31.5,8.4,51,56.8,8.2,1.5,6.2,0.1,4.9,45.5,37.8,15096,18.5,120725,56.9,184800,1633,443,985,111988,3.17,80.9,38.2,79.7,20.7,7.7,17.6,64.2,57,593070,1974208,820806,3299857,5104097,16336,22.6,56842,23786,20.2,"Bakersfield city, California",27628,13315,S,S,15167,1679,24218,"Bakersfield city, California",2444.2,142.16,"""0603526"""
Baltimore,Maryland,622793,3,4.817009825,392938,0.630928736,3,1,0.369071264,8346,13.40092133,Baltimore,"Baltimore city, Maryland",622793,621121,0.3,620961,6.6,21.5,11.7,52.9,29.6,63.7,0.4,2.3,Z,2.1,4.2,28,33251,7.5,296685,47.2,155000,1419,509,944,242212,2.47,82.8,8.8,80.9,27.7,11.8,13.1,62,60.9,1434689,8368892,5730887,4843424,4348797,6793,30.1,41819,25062,24.2,"Baltimore city, Maryland",42272,19520,15634,18052,21269,3833,34666,"Baltimore city, Maryland",7671.5,80.94,"""2404000"""
Boston,Massachusetts,655884,2,3.049319697,138073,0.210514359,2,1,0.789485641,4749,7.24060962,Boston,"Boston city, Massachusetts",655884,617680,6.2,617594,5.2,16.8,10.1,52.1,53.9,24.4,0.4,8.9,Z,3.9,17.5,47,18270,27,272481,34.2,379500,2255,721,1298,251212,2.36,78.2,36.6,85,44.6,8.5,5.5,68.1,65.4,3661700,15331781,3193339,6225668,6808832,10934,29.4,54485,34770,21.9,"Boston city, Massachusetts",49667,27292,14764,12273,33048,3356,41908,"Boston city, Massachusetts",12792.7,48.28,"""2507000"""
Charlotte-Mecklenberg,North Carolina,809958,1,1.234631919,252007,0.311135886,1,1,0.688864114,5054,6.23982972,Charlotte-Mecklenberg,"Charlotte city, North Carolina",809958,735758,10.1,731424,7.6,25.2,8.5,51.7,50,35,0.5,5,0.1,2.7,13.1,45.1,38667,15.3,319918,55.4,170200,1416,463,902,298815,2.55,79.1,20.2,88.1,40.7,6.5,18.9,72,66.7,2107737,5357168,8996300,15551586,10101369,15084,24.5,53274,31844,17.3,"Charlotte city, North Carolina",68545,34039,21332,19144,44297,6322,55494,"Charlotte city, North Carolina",2457.1,297.68,"""3712000"""
