Police Department, State,Rate of Police Killings per Million Population,Percent population black,Percent victims black,Disparity,"Violent Crime per 1,000 residents","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent"
Albuquerque,New Mexico,3.589575156,0.02670285,0,-0.02670285,8.855481909,88.9,33.2,47413,26876,18.5
Anaheim,California,8.645607887,0.023657265,0.666666667,0.643009402,3.172938095,75.5,24.8,59707,23990,16.9
Arlington,Texas,7.828728301,0.175068632,0.666666667,0.491598035,4.83815409,84.6,28.9,53055,25236,16.9
Atlanta,Georgia,6.578918514,0.491918895,1,0.508081105,12.23020952,88.4,47.1,46439,35719,25.2
Aurora,Colorado,8.495984231,0.138776238,0.666666667,0.527890428,4.100728389,86.5,27.1,52275,24732,16.2
Austin,Texas,6.573246231,0.066565073,0,-0.066565073,3.923132459,87,46,55216,32672,19
Bakersfield,California,13.5589911,0.072342641,0,-0.072342641,4.550397414,79.7,20.7,56842,23786,20.2
Baltimore,Maryland,4.817009825,0.630928736,1,0.369071264,13.40092133,80.9,27.7,41819,25062,24.2
Boston,Massachusetts,3.049319697,0.210514359,1,0.789485641,7.24060962,85,44.6,54485,34770,21.9
Charlotte-Mecklenberg,North Carolina,1.234631919,0.311135886,1,0.688864114,6.23982972,88.1,40.7,53274,31844,17.3
Chicago,Illinois,2.938595476,0.320411962,0.625,0.304588038,8.848478303,81.6,34.9,47831,28623,22.7
Cleveland,Ohio,5.134511361,0.534523171,1,0.465476829,13.31378796,77.4,15.2,26179,17436,35.9
Colorado Springs,Colorado,2.243007424,0.054709194,0,-0.054709194,4.573492138,92.8,36.3,54228,29355,13.9
Columbus,Ohio,4.78493511,0.260412916,0.5,0.239587084,5.458414727,88.3,33.4,44774,24721,22.3
Corpus Christi,Texas,6.241534918,0.037174582,0,-0.037174582,6.534887059,81.2,21.2,49675,25203,17.6
Dallas,Texas,5.464280389,0.229623894,0.571428571,0.341804678,6.601631322,74.3,29.7,43359,27917,24.1
Denver,Colorado,1.50633716,0.087952014,0,-0.087952014,5.99974091,85.6,43.7,51800,34423,18.3
Detroit,Michigan,1.470047777,0.862290334,1,0.137709666,20.01617053,77.8,13.1,26095,14984,39.8
El Paso,Texas,5.89070388,0.026736432,0.25,0.223263568,3.933517516,77.2,22.7,42037,20050,21.5
Fort Worth,Texas,6.155831173,0.168597135,0.4,0.231402865,5.451604086,80.4,26.7,52492,24726,19.3
Fresno,California,7.752148314,0.073422535,0,-0.073422535,4.616404321,74.8,20.1,41455,19226,30.6
Honolulu,Hawaii,2.853889423,0.013247755,0,-0.013247755,2.925236659,90.7,32.5,73581,30735,9.8
Houston,Texas,6.251233502,0.216987459,0.642857143,0.425869684,9.826939066,75.9,29.8,45728,27938,22.9
Indianapolis,Indiana,10.60335443,0.262790002,0.444444444,0.181654443,12.6863245,84.6,27.6,42076,24058,21.4
